2017-07-20 16:42:29. 4 ERROR  (sys:parserINI.c:13) - File[/home/helsinki/fram/etc/heartbeat.ini] test error [No such file or directory]
2017-07-20 16:43:19. 4 ERROR  (sys:parserINI.c:16) - -----------------------------------------------
2017-07-20 16:44:12. 4 ERROR  (sys:parserINI.c:16) - -----------------------------------------------
2017-07-20 16:46:57. 4 ERROR  (sys:parserINI.c:16) - -----------------------------------------------
2017-07-25 13:52:35. 1 ERROR  (sys:ipcshm.c:33) - errno[17]:File exists
2017-07-25 13:52:35. 1 ERROR  (sys:ipcshm.c:73) - errno[22]:Invalid argument
2017-07-25 13:52:35. 1 ERROR  (sys:arrshm.c:28) - Open shm_key[1677805057] error [22]
2017-07-25 13:52:35. 1 ERROR  (sys:ipcshm.c:73) - errno[22]:Invalid argument
2017-07-25 13:52:35. 1 ERROR  (sys:arrshm.c:75) - Open shm[-1] error [22]
2017-07-25 13:52:56. 1 INFO   (sys:Socket.c:295) - Send Packge[00000034{"machine":{"name":"LINUXVM-016"}}]
2017-07-25 13:52:56. 1 INFO   (sys:Socket.c:227) - Recv Package len[00000034]
2017-07-25 13:52:56. 1 INFO   (sys:Socket.c:235) - Recv Package[{"machine":{"name":"LINUXVM-016"}}]
2017-07-25 13:53:01. 1 INFO   (sys:Socket.c:295) - Send Packge[00000034{"machine":{"name":"LINUXVM-016"}}]
2017-07-25 13:53:01. 1 INFO   (sys:Socket.c:227) - Recv Package len[00000034]
2017-07-25 13:53:01. 1 INFO   (sys:Socket.c:235) - Recv Package[{"machine":{"name":"LINUXVM-016"}}]
2017-07-25 13:53:06. 1 INFO   (sys:Socket.c:295) - Send Packge[00000034{"machine":{"name":"LINUXVM-016"}}]
2017-07-25 13:53:06. 1 INFO   (sys:Socket.c:227) - Recv Package len[00000034]
2017-07-25 13:53:06. 1 INFO   (sys:Socket.c:235) - Recv Package[{"machine":{"name":"LINUXVM-016"}}]
2017-07-25 13:53:11. 1 INFO   (sys:Socket.c:295) - Send Packge[00000034{"machine":{"name":"LINUXVM-016"}}]
2017-07-25 13:53:11. 1 INFO   (sys:Socket.c:227) - Recv Package len[00000034]
2017-07-25 13:53:11. 1 INFO   (sys:Socket.c:235) - Recv Package[{"machine":{"name":"LINUXVM-016"}}]
2017-07-25 13:53:16. 1 INFO   (sys:Socket.c:295) - Send Packge[00000034{"machine":{"name":"LINUXVM-016"}}]
2017-07-25 13:53:16. 1 INFO   (sys:Socket.c:227) - Recv Package len[00000034]
2017-07-25 13:53:16. 1 INFO   (sys:Socket.c:235) - Recv Package[{"machine":{"name":"LINUXVM-016"}}]
2017-07-25 13:53:21. 1 INFO   (sys:Socket.c:295) - Send Packge[00000034{"machine":{"name":"LINUXVM-016"}}]
2017-07-25 13:53:21. 1 INFO   (sys:Socket.c:227) - Recv Package len[00000034]
2017-07-25 13:53:21. 1 INFO   (sys:Socket.c:235) - Recv Package[{"machine":{"name":"LINUXVM-016"}}]
2017-07-25 13:53:26. 1 INFO   (sys:Socket.c:295) - Send Packge[00000034{"machine":{"name":"LINUXVM-016"}}]
2017-07-25 13:53:26. 1 INFO   (sys:Socket.c:227) - Recv Package len[00000034]
2017-07-25 13:53:26. 1 INFO   (sys:Socket.c:235) - Recv Package[{"machine":{"name":"LINUXVM-016"}}]
2017-07-25 13:53:31. 1 INFO   (sys:Socket.c:295) - Send Packge[00000034{"machine":{"name":"LINUXVM-016"}}]
