transid	transname                        	subsysid	trantype	tranmode	tranlevel	runmode	comlinetype	msgtype	vermacflg	vertellerflg	verbranchflg	rsvflag1	rsvflag2	rsvflag3	rsvflag4	rsvflag5	rsvflag6	rsvitem1                         	rsvitem2                         	rsvitem3                         	rsvitem4                         	rsvitem5                         	rsvitem6                         
pub050 	日终批量收费                     	pub     	        	        	         	1      	           	       	0        	0           	0           	1       	0       	1       	        	1       	1       	                                 	                                 	                                 	                                 	                                 	                                 
plttst 	柜员登录                         	pub     	0       	0       	0        	1      	0          	0      	0        	0           	0           	1       	0       	0       	        	0       	0       	2                                	                                 	                                 	                                 	3                                	tppubsrv                         
nx9999 	农信银收取手续费                 	chp     	        	        	         	1      	           	       	0        	2           	2           	1       	0       	1       	        	1       	        	                                 	                                 	                                 	                                 	                                 	tpchpsrv                         
nx9998 	农信银收取手续费(通存通兑)       	chp     	        	        	         	1      	           	       	0        	2           	2           	1       	0       	1       	        	1       	        	                                 	                                 	                                 	                                 	                                 	tpchpsrv                         
nx4410 	农信银工作日差业务清单打印       	chp     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	0       	        	0       	1       	                                 	                                 	                                 	                                 	                                 	tpchpsrv                         
nx4330 	农信银凭证查询与销号             	chp     	        	        	         	1      	           	       	0        	2           	2           	1       	0       	1       	        	        	        	                                 	                                 	                                 	                                 	                                 	tpchpsrv                         
nx4320 	农信银存款确认入账               	nxy     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	0       	1       	        	        	                                 	                                 	                                 	                                 	                                 	tpchpsrv                         
nx4310 	农信银错帐控制                   	nxy     	        	        	         	1      	           	       	0        	2           	2           	1       	0       	1       	        	        	        	                                 	                                 	                                 	                                 	                                 	tpchpsrv                         
nx4290 	农信银汇差记账                   	chp     	        	        	         	1      	           	       	0        	2           	2           	1       	0       	1       	        	        	        	                                 	                                 	                                 	                                 	                                 	                                 
nx4280 	农信银生成机构文件               	chp     	        	        	         	1      	           	       	0        	0           	0           	0       	0       	0       	        	        	        	                                 	                                 	                                 	                                 	                                 	tpchpsrv                         
nx4270 	农信银授权                       	chp     	        	        	         	1      	           	       	0        	2           	2           	0       	0       	0       	        	        	        	                                 	                                 	                                 	                                 	                                 	tpchpsrv                         
nx4260 	生成对帐明细文件                 	chp     	        	        	         	1      	           	       	0        	0           	0           	0       	0       	0       	        	        	        	                                 	                                 	                                 	                                 	                                 	tpchpsrv                         
nx4250 	农信银帐户查询                   	chp     	        	        	         	1      	           	       	0        	2           	2           	1       	0       	0       	1       	0       	        	                                 	                                 	                                 	                                 	                                 	tpchpsrv                         
nx4240 	农信银冲正/抹帐请求              	chp     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	1       	1       	1       	        	                                 	                                 	                                 	                                 	                                 	tpchpsrv                         
nx4230 	农信银内转业务                   	chp     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	1       	1       	1       	        	                                 	                                 	                                 	                                 	                                 	tpchpsrv                         
nx4220 	农信银借记登记                   	chp     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	1       	1       	        	        	                                 	                                 	                                 	                                 	                                 	tpchpsrv                         
nx4210 	农信银贷记记帐                   	chp     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	1       	1       	1       	        	                                 	                                 	                                 	                                 	                                 	tpchpsrv                         
mms106 	理财签约信息维护                 	mms     	        	        	         	1      	           	       	0        	0           	0           	1       	0       	1       	        	        	        	                                 	                                 	                                 	                                 	                                 	                                 
blns22 	国内保理收回融资                 	lns     	        	        	         	1      	           	       	0        	2           	2           	1       	0       	1       	        	0       	1       	                                 	                                 	                                 	                                 	                                 	tplnssrv                         
blns21 	银行承兑汇票到期转款             	lns     	        	        	         	1      	           	       	0        	2           	2           	1       	0       	1       	        	0       	1       	                                 	                                 	                                 	                                 	                                 	                                 
999999 	柜员退出                         	pub     	0       	0       	0        	1      	0          	0      	0        	0           	0           	1       	0       	0       	        	0       	0       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
999998 	12                               	12      	        	        	         	       	           	       	         	            	            	        	        	        	        	        	        	                                 	                                 	                                 	                                 	                                 	                                 
